m,n,min,max,mean,median,count
1,5,0.7226277372262774,1.0,0.991601232016791,1.0,360
1,6,0.7640449438202247,1.0,0.9931039699438614,1.0,360
1,7,0.8,1.0,0.9959321763881092,1.0,360
1,8,0.75,1.0,0.9968838870593874,1.0,360
1,9,0.8571428571428571,1.0,0.9963107518117025,1.0,360
1,10,0.75,1.0,0.9945733826926092,1.0,360
1,12,0.6666666666666666,1.0,0.9941895004471691,1.0,360
2,5,0.4615384615384615,1.0,0.9088313209540831,1.0,360
2,6,0.5,1.0,0.8837789199241239,0.9818840579710145,360
2,7,0.4615384615384615,1.0,0.8781726794248131,0.9473684210526316,360
2,8,0.5,1.0,0.8573295954302166,0.902432575356954,360
2,9,0.4838709677419355,1.0,0.8600117129592222,0.9086738949124271,360
2,10,0.5061728395061729,1.0,0.8554763723409938,0.9056732740943267,360
2,12,0.4622641509433962,1.0,0.8549960651753584,0.9160798122065728,360
3,5,0.4047619047619047,1.0,0.899170784454169,1.0,360
3,6,0.323943661971831,1.0,0.8641422769085675,0.9523809523809524,360
3,7,0.3463203463203463,1.0,0.8135299874924853,0.8511949685534592,360
3,8,0.3516483516483517,1.0,0.7965770669692137,0.8288850624192854,360
3,9,0.36,1.0,0.8109752463081089,0.8490211853043712,360
3,10,0.3541666666666667,1.0,0.7871129115723378,0.7993288590604026,360
3,12,0.3333333333333333,1.0,0.7614329073047336,0.7796908185648133,360
