m,profit_type,density,min_ratio,avg_ratio,count
1,anticorrelated,dense,0.9904761904761904,0.9999773242630386,420
1,anticorrelated,sparse,0.9423076923076924,0.9997544122544123,420
1,correlated,dense,0.75,0.9891577042744145,420
1,correlated,sparse,0.6666666666666666,0.9864960508522406,420
1,random,dense,0.7640449438202247,0.9982544966818342,420
1,random,sparse,0.7226277372262774,0.9942984976965995,420
2,anticorrelated,dense,0.5142857142857142,0.943074173216847,420
2,anticorrelated,sparse,0.5,0.8009734481010186,420
2,correlated,dense,0.5263157894736842,0.9142309214893232,420
2,correlated,sparse,0.4615384615384615,0.8317820491173897,420
2,random,dense,0.6193548387096774,0.9410705788162317,420
2,random,sparse,0.4622641509433962,0.7962374002953139,420
3,anticorrelated,dense,0.5,0.9075299176721977,420
3,anticorrelated,sparse,0.3516483516483517,0.7196196500310577,420
3,correlated,dense,0.5,0.8939138315209274,420
3,correlated,sparse,0.3333333333333333,0.7670420757455857,420
3,random,dense,0.5082872928176796,0.9062413711467887,420
3,random,sparse,0.323943661971831,0.7196027376059702,420
